Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,14.5,91,12.4,6.37,9.58,68,72,9.9,0.2574
2017-01-02 21:00:00,10.0,84,6.2,7.2,9.86,335,337,10.4,0.2168
2017-01-03 18:00:00,-8.0,76,-13.5,8.96,13.81,309,312,13.6,0.51
2017-01-04 15:00:00,-8.7,73,-14.9,7.07,10.79,278,283,10.2,0.3015
2017-01-05 12:00:00,-11.9,75,-17.5,6.81,10.21,300,305,9.8,0.2925
2017-01-06 09:00:00,-10.1,79,-14.8,4.84,7.12,288,308,6.7,0.141
2017-01-07 06:00:00,-9.7,74,-15.8,6.72,11.2,314,323,10.0,0.4421
2017-01-08 03:00:00,-5.6,69,-13.2,8.12,14.0,170,173,11.6,0.4785
2017-01-09 00:00:00,-5.4,78,-10.5,5.56,8.95,322,335,10.0,0.3775
2017-01-09 21:00:00,3.4,87,0.5,1.75,2.01,77,117,3.0,0.3437
2017-01-10 18:00:00,-4.1,76,-9.8,5.16,8.48,306,308,7.8,0.3491
2017-01-11 15:00:00,-5.3,76,-10.7,4.9,6.8,270,270,7.0,0.2144
2017-01-12 12:00:00,-9.1,61,-19.0,10.12,14.43,308,309,15.9,0.6946
2017-01-13 09:00:00,-5.9,68,-13.7,8.21,13.42,182,183,11.8,0.5279
2017-01-14 06:00:00,4.1,73,-2.6,5.99,10.04,296,308,9.1,0.5859
2017-01-15 03:00:00,10.1,66,1.0,8.82,14.59,237,235,12.5,0.6057
2017-01-16 00:00:00,16.1,70,7.9,7.58,11.92,247,247,11.1,0.5085
2017-01-16 21:00:00,16.1,84,12.1,6.3,10.25,317,331,8.8,0.42
2017-01-17 18:00:00,22.9,69,14.2,9.88,16.1,234,234,14.7,0.6689
2017-01-18 15:00:00,37.3,68,27.8,5.61,8.24,239,237,9.0,0.4377
2017-01-19 12:00:00,28.3,81,23.1,6.58,10.87,204,204,9.5,0.5319
2017-01-20 09:00:00,32.6,100,32.6,5.12,8.21,129,132,7.3,0.1182
2017-01-21 06:00:00,28.9,94,27.2,1.3,3.44,157,154,3.9,0.0723
2017-01-22 03:00:00,25.8,98,25.3,6.14,8.16,289,289,8.7,0.1752
2017-01-23 00:00:00,27.9,91,25.6,5.0,7.47,290,295,8.4,0.1801
2017-01-23 21:00:00,26.2,88,23.1,0.89,2.01,63,84,2.3,0.0704
2017-01-24 18:00:00,22.0,87,18.8,5.57,7.91,342,342,9.3,0.3231
2017-01-25 15:00:00,22.8,81,18.0,7.21,9.14,336,337,10.2,0.3121
2017-01-26 12:00:00,15.1,80,10.1,7.55,9.4,325,325,11.3,0.5846
2017-01-27 09:00:00,19.9,85,16.2,10.49,15.99,311,313,15.2,0.6409
2017-01-28 06:00:00,25.4,88,22.4,8.0,12.21,323,325,12.6,0.6316
2017-01-29 03:00:00,30.0,91,27.7,5.58,9.07,306,311,8.1,0.4682
2017-01-30 00:00:00,28.9,84,24.6,6.3,10.64,269,279,8.9,0.1274
2017-01-30 21:00:00,32.3,88,29.0,12.12,17.49,308,309,17.7,0.6717
2017-01-31 18:00:00,22.6,83,18.3,8.14,12.07,307,310,13.0,0.6761
2017-02-01 15:00:00,8.0,68,-0.5,10.04,13.26,305,305,15.0,0.6396
2017-02-02 12:00:00,4.8,72,-2.1,8.27,10.71,302,303,12.8,0.6823
2017-02-03 09:00:00,-0.7,74,-7.0,6.54,11.22,264,273,9.5,0.4391
2017-02-04 06:00:00,17.3,80,12.3,4.98,9.17,190,194,8.4,0.4264
2017-02-05 03:00:00,5.0,86,1.8,4.08,6.8,329,336,6.4,0.0843
2017-02-06 00:00:00,7.3,81,2.8,2.79,5.19,105,124,4.8,0.0691
2017-02-06 21:00:00,8.5,85,5.0,7.79,10.9,42,43,13.2,0.4819
2017-02-07 18:00:00,0.1,75,-5.8,5.73,8.13,344,344,8.9,0.2277
2017-02-08 15:00:00,0.5,72,-6.4,7.57,9.69,278,278,11.4,0.4121
2017-02-09 12:00:00,8.2,77,2.5,6.73,10.09,191,194,10.0,0.3435
2017-02-10 09:00:00,35.9,76,28.9,8.11,14.28,267,276,11.6,0.6841
2017-02-11 06:00:00,27.5,96,26.5,2.5,4.22,180,194,4.9,0.5808
2017-02-12 03:00:00,24.6,75,17.8,8.75,14.63,292,295,15.3,0.7411
2017-02-13 00:00:00,29.0,69,20.1,7.3,13.78,234,237,11.6,0.6058
2017-02-13 21:00:00,30.1,83,25.7,7.88,13.34,303,307,13.2,0.7393
2017-02-14 18:00:00,29.1,88,26.0,4.12,8.1,331,333,9.0,0.2967
2017-02-15 15:00:00,37.7,82,32.8,5.75,10.19,220,223,9.4,0.7173
2017-02-16 12:00:00,40.9,75,33.6,5.99,11.28,255,260,10.4,0.6121
2017-02-17 09:00:00,40.2,66,29.6,4.52,10.56,298,312,7.0,0.5254
2017-02-18 06:00:00,32.8,82,28.0,3.95,7.66,279,294,7.4,0.2346
2017-02-19 03:00:00,34.7,90,32.2,3.94,8.5,144,155,6.6,0.3962
2017-02-20 00:00:00,46.3,89,43.3,5.53,10.91,174,177,9.1,0.5601
2017-02-20 21:00:00,35.4,90,32.7,3.96,8.5,260,269,6.9,0.5666
2017-02-21 18:00:00,46.0,68,36.0,1.66,2.28,335,337,2.1,0.0088
2017-02-22 15:00:00,33.9,89,31.0,6.2,9.01,2,3,10.9,0.2717
2017-02-23 12:00:00,30.7,63,19.6,5.3,7.05,32,32,10.0,0.0452
2017-02-24 09:00:00,19.0,73,11.8,5.12,7.11,356,357,9.1,0.3849
2017-02-25 06:00:00,17.6,73,10.4,4.65,8.48,251,253,8.7,0.2804
2017-02-26 03:00:00,22.5,75,15.6,7.41,11.92,291,293,12.5,0.34
2017-02-27 00:00:00,16.6,64,6.7,1.42,3.09,39,65,2.8,0.2546
2017-02-27 21:00:00,22.4,60,10.8,4.74,7.8,28,31,8.3,0.1391
2017-02-28 18:00:00,24.4,68,15.3,3.51,5.85,3,8,8.3,0.1164
2017-06-01 00:00:00,55.2,42,32.5,3.3,7.91,178,171,5.1,0.3157
2017-06-01 22:00:00,67.8,48,47.3,5.02,10.1,157,159,8.4,0.5341
2017-06-02 20:00:00,76.5,46,54.1,6.14,10.82,289,296,10.6,0.3267
2017-06-03 18:00:00,78.2,21,35.2,5.44,8.13,302,302,12.2,0.2345
2017-06-04 16:00:00,83.9,22,40.5,3.7,4.7,360,359,8.4,0.0524
2017-06-05 14:00:00,81.1,32,48.7,3.7,4.59,109,110,8.8,0.0719
2017-06-06 12:00:00,80.2,45,56.7,2.34,2.84,320,321,6.4,0.537
